,params,mean_test_r2,std_test_r2,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error
0,{'n_neighbors': 1},0.12465399335996663,0.040083627020245594,-59.6039811437459,0.9004222111199006
1,{'n_neighbors': 2},0.35885623219914764,0.024981754926509187,-51.02031990307994,0.9027137315861926
2,{'n_neighbors': 3},0.4283762493333986,0.021073553942225483,-48.17459305917704,0.6904722017307732
3,{'n_neighbors': 4},0.46325320400775905,0.02209795606797889,-46.68054396477585,0.8232126467360712
4,{'n_neighbors': 5},0.48254397494029033,0.02312163303554407,-45.830706907715225,0.802716099841223
5,{'n_neighbors': 6},0.49181024904139947,0.02233949192683899,-45.419061127536715,0.7700370510333563
6,{'n_neighbors': 7},0.5011903397971582,0.024734673511798824,-44.995273765066216,0.9173130550839492
7,{'n_neighbors': 8},0.5065236453485763,0.022787815826582153,-44.75652545720767,0.8617398254356571
8,{'n_neighbors': 9},0.511067488552684,0.024614200272337523,-44.54723575720837,0.9278302508234517
9,{'n_neighbors': 10},0.5136811770129844,0.024620711584203894,-44.42654205282672,0.87241285026028
10,{'n_neighbors': 11},0.5161315484002342,0.023544643446359464,-44.31482788947948,0.7833143980094832
11,{'n_neighbors': 12},0.5193745796898946,0.02342607049222965,-44.16518692170181,0.7385241998460191
12,{'n_neighbors': 13},0.5209145346041721,0.02473761403390624,-44.092281078277395,0.7905991424269887
13,{'n_neighbors': 14},0.5216607012570714,0.02399198026537428,-44.05973020149691,0.7983133550426696
14,{'n_neighbors': 15},0.5211365332673761,0.023635957357179375,-44.08377020191465,0.7489021095533779
15,{'n_neighbors': 16},0.5211931015757439,0.0243904662423877,-44.0798811849247,0.772653806323333
16,{'n_neighbors': 17},0.5206640635963211,0.024064659679468976,-44.10519547775521,0.7806582368816468
17,{'n_neighbors': 18},0.5211174986535465,0.024675451963785445,-44.0831304922021,0.7949584532573403
18,{'n_neighbors': 19},0.5214304619756482,0.024633559464222896,-44.06914015312346,0.8114944514292902
19,{'n_neighbors': 20},0.522445825233904,0.024160712880917888,-44.02262702338673,0.7738544330047105
20,{'n_neighbors': 21},0.5222354756942043,0.023650954488136488,-44.032672158402384,0.7299079197936668
21,{'n_neighbors': 22},0.5224101050168815,0.023465423008865095,-44.024632666697116,0.7086497680545886
22,{'n_neighbors': 23},0.522164680310446,0.023176724002903465,-44.03648992206324,0.7012405506645887
23,{'n_neighbors': 24},0.5219700846458089,0.02241282415569764,-44.04653149269583,0.6679347131032625
24,{'n_neighbors': 25},0.5227135552493539,0.02162015249831267,-44.013382627977165,0.639918510396925
25,{'n_neighbors': 26},0.52241883757578,0.021863397408438533,-44.0270111676013,0.671056059329504
26,{'n_neighbors': 27},0.5222456550208427,0.02111128911095219,-44.03650606239071,0.6698372059276975
27,{'n_neighbors': 28},0.5222753510255449,0.020382570657475056,-44.0359013420801,0.6289367939726267
28,{'n_neighbors': 29},0.5220747425289416,0.0202639176479495,-44.04561951623654,0.6437101819830267
29,{'n_neighbors': 30},0.5213957822866468,0.020086850396376466,-44.07784264231546,0.6790930286188163
