,params,mean_test_r2,mean_test_neg_root_mean_squared_error
0,{'n_neighbors': 1},-0.025104871321184285,-64.46656244600032
1,{'n_neighbors': 2},0.2454154682630163,-55.32612191259735
2,{'n_neighbors': 3},0.329195720790747,-52.17079905389214
3,{'n_neighbors': 4},0.3691941032107266,-50.595904965383895
4,{'n_neighbors': 5},0.3903885714321029,-49.74597817182847
5,{'n_neighbors': 6},0.3980994408569894,-49.4342746405936
6,{'n_neighbors': 7},0.4096430037093436,-48.961935074946055
7,{'n_neighbors': 8},0.41592133438917855,-48.6995886575884
8,{'n_neighbors': 9},0.42430327122704037,-48.348968233330346
9,{'n_neighbors': 10},0.4258906991523054,-48.280946598158316
10,{'n_neighbors': 11},0.4287077981211488,-48.16002808773608
11,{'n_neighbors': 12},0.4342053540330701,-47.92745253648259
12,{'n_neighbors': 13},0.4348997176568169,-47.89725635730218
13,{'n_neighbors': 14},0.4353886492385417,-47.8769522015272
14,{'n_neighbors': 15},0.4362522370654947,-47.84058547865836
15,{'n_neighbors': 16},0.4365471486762805,-47.82752413281521
16,{'n_neighbors': 17},0.43801287631600283,-47.76433350122638
17,{'n_neighbors': 18},0.4392056151096364,-47.71485071418281
18,{'n_neighbors': 19},0.4380851490467094,-47.76436116609834
19,{'n_neighbors': 20},0.4399709312898182,-47.68232949755929
20,{'n_neighbors': 21},0.4395547060823155,-47.699006332372036
21,{'n_neighbors': 22},0.43967697295053954,-47.69419544103331
22,{'n_neighbors': 23},0.44062697672416384,-47.653176719494944
23,{'n_neighbors': 24},0.44205566108526584,-47.593082748665594
24,{'n_neighbors': 25},0.4425356392478824,-47.57290276297584
25,{'n_neighbors': 26},0.4429037628485889,-47.55830877581762
26,{'n_neighbors': 27},0.44296197720868086,-47.5569557513447
27,{'n_neighbors': 28},0.44268208855653607,-47.56884543009096
28,{'n_neighbors': 29},0.44240717034311733,-47.58129857545851
29,{'n_neighbors': 30},0.4420752914018803,-47.59597444662735
